"searchTerm","semanticTags","confidence","annotatedProperty.propertyValue","derivedFrom.provenance.source.type"
"Ham, Parma","http://purl.obolibrary.org/obo/FOODON_03306818","MEDIUM","ham (raw)","ONTOLOGY"
"Ham, Parma","http://purl.obolibrary.org/obo/FOODON_03306437","MEDIUM","ham (chopped)","ONTOLOGY"
"Cheese, Gouda","http://purl.obolibrary.org/obo/FOODON_03303580","MEDIUM","gouda cheese (baby)","ONTOLOGY"
"Cheese, Gouda","http://purl.obolibrary.org/obo/FOODON_03303514","MEDIUM","gouda cheese","ONTOLOGY"
"Salmon, baked","http://purl.obolibrary.org/obo/FOODON_00003473","GOOD","salmon","ONTOLOGY"
"Waitrose Green Pak Choi","http://purl.obolibrary.org/obo/FOODON_03540487","MEDIUM","04870 - pak-choi (efsa foodex2)","ONTOLOGY"
"Waitrose Green Pak Choi","http://purl.obolibrary.org/obo/FOODON_03401465","MEDIUM","10006145 - pak choi (gs1 gpc)","ONTOLOGY"
"Garam masala","http://purl.obolibrary.org/obo/FOODON_00002549","MEDIUM","chicken tikki masala","ONTOLOGY"
"Garam masala","http://purl.obolibrary.org/obo/FOODON_00002548","MEDIUM","tikka masala sauce","ONTOLOGY"
"Mixed curry spices","http://purl.obolibrary.org/obo/FOODON_03544061","MEDIUM","40610 - mixed herbs and spices (efsa foodex2)","ONTOLOGY"
"Mixed curry spices","http://purl.obolibrary.org/obo/FOODON_03310030","MEDIUM","squash curry","ONTOLOGY"
"Fish sauce","http://purl.obolibrary.org/obo/FOODON_03317197","GOOD","fish sauce","ONTOLOGY"
"Beans, chick peas, Kabuli, split, dried, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03303046","MEDIUM","split peas (cooked, dried)","ONTOLOGY"
"Beans, chick peas, Kabuli, split, dried, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03305836","MEDIUM","split peas (cooked, dried, coated with oil)","ONTOLOGY"
"Spaghetti Carbonara","http://purl.obolibrary.org/obo/FOODON_03303886","MEDIUM","spaghetti sauce","ONTOLOGY"
"Spaghetti Carbonara","http://purl.obolibrary.org/obo/FOODON_00003236","MEDIUM","carbonara sauce","ONTOLOGY"
"Waitrose 1 Cottage Pie 400g","http://purl.obolibrary.org/obo/FOODON_03301605","GOOD","cottage cheese","ONTOLOGY"
"Waitrose Cooks' Ingredients Pho Paste 190g","http://purl.obolibrary.org/obo/FOODON_03301250","MEDIUM","fig paste","ONTOLOGY"
"Waitrose Cooks' Ingredients Pho Paste 190g","http://purl.obolibrary.org/obo/FOODON_03301538","MEDIUM","apricot paste","ONTOLOGY"
"Noodles, wholemeal, raw","http://purl.obolibrary.org/obo/FOODON_03304427","MEDIUM","chicken and noodles (canned)","ONTOLOGY"
"Noodles, wholemeal, raw","http://purl.obolibrary.org/obo/FOODON_03302094","MEDIUM","beef stroganoff with noodles","ONTOLOGY"
"itsu Sizzling Pork Gyoza 12 Dinner Dumplings 240g","http://purl.obolibrary.org/obo/FOODON_03303003","MEDIUM","chicken and dumplings","ONTOLOGY"
"itsu Sizzling Pork Gyoza 12 Dinner Dumplings 240g","http://purl.obolibrary.org/obo/FOODON_03316593","MEDIUM","dinner concentrate","ONTOLOGY"
"Morrisons Double Cream 600ml","http://purl.obolibrary.org/obo/FOODON_00001045","MEDIUM","ice cream food product","ONTOLOGY"
"Morrisons Double Cream 600ml","http://purl.obolibrary.org/obo/FOODON_03450043","MEDIUM","double steaming","ONTOLOGY"
"Oat Milk, unsweetened, with calcium","http://purl.obolibrary.org/obo/FOODON_03542721","MEDIUM","27210 - evaporated milk (liquid, unsweetened) (efsa foodex2)","ONTOLOGY"
"Oat Milk, unsweetened, with calcium","http://purl.obolibrary.org/obo/FOODON_03307487","MEDIUM","skim milk (calcium-reduced)","ONTOLOGY"
"Sainsbury's Caramel Panna Cotta 2 x 120g (240g)","http://purl.obolibrary.org/obo/FOODON_03317034","MEDIUM","caramel","ONTOLOGY"
"Sainsbury's Caramel Panna Cotta 2 x 120g (240g)","http://purl.obolibrary.org/obo/FOODON_03316659","MEDIUM","caramel paste","ONTOLOGY"
"Sainsbury's Steam Cooked Chicken Breast Fillets 200g","http://purl.obolibrary.org/obo/FOODON_03311140","MEDIUM","chicken breast (cooked)","ONTOLOGY"
"Sainsbury's Steam Cooked Chicken Breast Fillets 200g","http://purl.obolibrary.org/obo/FOODON_03311101","MEDIUM","chicken (whole, cooked)","ONTOLOGY"
